winery,mean_winery
Altemasi,53.0
Alterra,12.0
Altesino,52.578947368421055
Althe'a,21.0
Althéa,31.333333333333332
Alto 3,17.5
Alto Cinco,13.0
Alto Los Romeros,15.545454545454545
Alto Moncayo,34.5
Alto Roble,10.5
Alto de la Ballena,21.5
Altocedro,28.903225806451612
Altolandon,33.5
Altoona Hills,11.0
Altos Las Hormigas,22.8
Altos de Cristimil,14.5
Altos de San Isidro,21.0
Altos de Sueño,28.0
Altos de Torona,15.5
Altos del Cuco,19.666666666666668
Altos del Marqués,33.0
Altos del Terral,60.0
Altozano,13.333333333333334
Altvs,62.0
Altùris,17.5
Aluvé,36.25
Alvarez de Toledo,27.25
Alvaro Castro,29.5
Alvaro Palacios,37.0
Alvear,45.07692307692308
Alves de Sousa,32.0
Alvinte,26.0
Alyris,39.666666666666664
Alysian,40.666666666666664
Alzania,50.0
Alzinger,47.857142857142854
Além,16.0
AmByth,50.0
Amaboko,17.0
Amador Cellars,28.25
Amador Foothill Winery,24.933333333333334
Amadores,13.5
Amalaya,16.0
Amalia,52.125
Amalie Robert,35.06
Amantis,54.8
Amapola Creek,53.0
Amaral,23.0
Amaro Vineyard,47.0
Amastuola,29.0
Amathia,23.0
Amatore,12.0
Amavi,33.6
Amayna,22.8
Ambasciata del  Buon Vino,56.0
Ambassador Vineyard,32.666666666666664
Amberhill,10.5
Ambiente,8.0
Ambition,23.333333333333332
Ambo Secco,46.0
Ambrogio e Giovanni Folonari,30.0
Ambrose,13.0
Ambrosini Lorella,55.0
Amelle,35.333333333333336
American Roots,23.333333333333332
American Thread,27.0
Amici,35.588235294117645
Amicus by X Winery,60.666666666666664
Amiran Vepkhvadze,28.0
Amisfield,44.22222222222222
Amista,31.0
Amity,30.526315789473685
Amity Vineyards,33.2
Amizade,18.0
Amizetta,47.0
Ammunition,23.0
Amor Fati,38.25
Amore di Amanti,21.0
Amos Cellars,40.0
Ampelos,30.852941176470587
Amphora,57.0
Amézola,26.0
An Approach to Relaxation,34.0
Anaba,32.6875
Anakena,18.533333333333335
Anakota,78.0
Analemma,27.571428571428573
Analivia,17.5
Anam Cara,41.22222222222222
Anapamu,30.333333333333332
Anatomy,17.0
Ancestrale,27.0
Ancestry,27.181818181818183
Anciano,20.0
Ancien,39.833333333333336
Ancient Cellars,24.833333333333332
Ancient Oak Cellars,33.733333333333334
Ancient Peaks,26.48936170212766
Ancient Roots,19.0
Ancilla,23.666666666666668
Andean,18.75
Andean Sky,20.5
Andeluna,24.476190476190474
Andes Grapes,29.0
Andes Plateau,28.0
Andis,26.425
Andre et Mireille Tissot,42.75
Andrea Felici,32.5
Andrea Oberto,106.0
Andreola,22.0
Andreola Orsola,34.25
Andretti,36.06666666666667
Andrew Harris,36.5
Andrew Januik,37.666666666666664
Andrew Murray,33.041666666666664
Andrew Peace,15.5
Andrew Rich,34.095238095238095
Andrew Will,54.57142857142857
Andriano,27.869565217391305
Andrieux & Fils,26.0
André Brunel,34.8235294117647
André Kientzler,26.27777777777778
Anecoop,23.5
Anemoi,27.714285714285715
Anew,15.333333333333334
Angel Camp,46.0
Angel Juice,23.0
Angel Vine,27.565217391304348
Angel's Cup,15.5
Angel's Secret,19.666666666666668
Angela Estate,45.0
Angeli di Varano,24.5
Angeline,17.916666666666668
Angelini,15.5
Angelo Bortolin,23.0
Angelo Cellars,51.8
Angels & Cowboys,20.166666666666668
Anglim,36.0
Angosto,26.727272727272727
Angove,41.57142857142857
Angove's,15.8
Angry Bunch,16.0
Angulo Innocenti,20.2
Angus The Bull,23.0
Aniello,16.6
Anier,29.333333333333332
Animale,28.5
Animo,70.0
Anita et André Kuhnel,21.0
Ankal,31.0
Ankh,58.0
Ankida Ridge,20.0
Anko,18.5
Anna Maria Abbona,42.666666666666664
Anna Spinato,26.142857142857142
Annabella,14.5
Anne Amie,23.8
Annefield Vineyards,23.5
Annie's Lane,27.0
Anomaly,86.0
Anonymous,21.0
Anselmi,29.8
Anselmo Mendes,23.75
Ansgar Clüsserath,31.333333333333332
Ant Moore,25.5
Anta,36.0
Antadze,30.5
Antale,16.0
Anterra,12.0
Anthill,57.5
Anthonij Rupert,56.0
Anthony Nappa,28.634146341463413
Anthony Road,21.8125
Anthropology,18.0
Antic,20.0
Antica,59.0
Antica Corte,28.0
Antica Enotria,25.375
Antica Fratta,47.9
Antica Hirpinia,31.5
Antichi Vigneti di Cantalupo,49.0
Antichi Vinai 1877,31.0
Antico Borgo di Sugame,36.0
Antico Castello,43.0
Antico Colle,29.444444444444443
Antier,17.0
Antigal,28.0
Antigua Bodega,10.0
Antigua Bodega Stagnari,17.0
Antinori,42.333333333333336
Antiquum Farm,37.27272727272727
Antis,13.0
Antiyal,50.0
Antler Hill,31.0
AntoLin Cellars,26.571428571428573
Antoine Moltès & Fils,22.375
Antoine Sanzay,30.0
Antoine Simoneau,17.0
Antolini,72.25
Anton Bauer,32.793103448275865
Antonelli,48.22222222222222
Antonin Rodet,30.391304347826086
Antonino Tringali-Casanuova,26.857142857142858
Antonio Caggiano,38.0
Antonio Cesar Cavalli,18.0
Antonio Gonzalez,23.0
Antonio Lopes Ribeiro,23.666666666666668
Antonio Patric,63.0
Antoniolo,60.75
Antonopoulos,30.0
Antonutti,21.0
Antucura,22.153846153846153
Anzivino,44.0
Apaltagua,15.451612903225806
Apanta,25.0
Aperture,45.857142857142854
Apex,26.64516129032258
Apex II,13.0
Apogee,60.0
Apolloni,24.727272727272727
Apollonio,22.0
Apothic,16.375
Appollis,15.0
Apriori,26.363636363636363
Apsara,31.166666666666668
Apátsági,28.0
Aquas,22.0
Aquila del Torre,27.666666666666668
Aquilina,28.0
Aquinas,20.7
Ara,26.2
Aragus,13.0
Araldica,23.625
Aramis,40.0
Aranleón,27.0
Aratás,50.4
Arauco,8.0
Arbiola,18.0
Arbios,46.333333333333336
Arboleda,23.794117647058822
Arbor Bench Vineyards,31.0
Arbor Brook,38.5
Arbor Crest,29.482758620689655
Arbor Hill,17.0
Arbéta,28.285714285714285
Arcadian,54.833333333333336
Arcane Cellars,34.0
Archer,20.0
Archer Roose,52.0
Archery Summit,59.28125
Archeus,33.0
Archgate Cellars,16.333333333333332
Archimedes,51.5
Archium,29.4
Archival,27.5
Arché,23.666666666666668
Arcudi,97.0
Ardales,18.5
Ardenvoir,33.857142857142854
Ardiri,19.5
Ardiri Winery and Vineyards,23.0
Ardor,33.38461538461539
Arduini,32.4
Areo,24.0
Aresti,18.543478260869566
Argami,14.0
Argana,12.75
Arge & Tina,11.0
Argentiera,35.0
Argento,17.055555555555557
Arger-Martucci,55.25
Argiano,55.666666666666664
Argie,23.0
Argillae,19.166666666666668
Argiolas,29.870967741935484
Argot,36.2
Argyle,39.666666666666664
Argyros,26.875
Ariano Hermanos,22.333333333333332
Aril,52.8
Arissa Jane,37.0
Arista,50.45
Arizona Angel,20.0
Arizona Stronghold,25.75
Armanino Family Cellars,48.94117647058823
Armas de Guerra,14.5
Armida,33.8974358974359
Armilla,45.333333333333336
Armitage,44.0
Armosa,27.666666666666668
Armstrong Family,25.09090909090909
Arnaldo Caprai,50.94736842105263
Arnaud Baillot,38.666666666666664
Arnaud de Villeneuve,16.0
Arndorfer,35.2
Arndt,27.333333333333332
Arns,69.0
Aromal,11.0
AronHill,42.8
Arpepe,60.42857142857143
Array,31.25
Arrayán,20.0
Arregi,21.0
Arroba,23.0
Arrocal,32.1875
Arrogant Frog,13.666666666666666
Arrow Creek,15.789473684210526
Arrowhead Mountain,36.0
Arrowhead Spring,51.0
Arrowood,37.97222222222222
Arroyo,17.333333333333332
Arrumaco,11.833333333333334
Art of Earth,11.0
Artadi,37.81818181818182
Artemovsk,16.0
Artes del Sur,15.0
Artesa,34.479166666666664
Artesana,21.5
Artevino,38.0
Artezin,28.214285714285715
Arthur Metz,35.0
Arthur's Creek,41.0
Artimino,17.0
Artisan Uprising,31.666666666666668
Artisan Wines DI Franz Scheider,21.0
Artner,26.076923076923077
Arunda,43.0
Arzuaga,36.0
Arínzano,17.5
As Laxas,28.333333333333332
Ascencion,29.666666666666668
Ascension Cellars,33.0
Ascevi Luwa,17.5
Ascheri,45.8
Asensio,33.666666666666664
Ash Hollow,36.25
Ashan,33.142857142857146
Ashland Vineyards,16.0
Ashokawna,8.0
Aspaldi,25.0
Assolati,19.5
Assuli,14.333333333333334
Astoria,28.043478260869566
Astorre Noti,23.0
Astrale e Terra,39.0
Astrales,61.0
Astrolabe,24.285714285714285
Asuncion Ridge,36.36363636363637
Asunto de Vino,19.0
Ata Rangi,36.42857142857143
Atalaya,25.0
Atalaya do Mar,18.0
Atalayas de Golbán,25.0
Atali Winery,34.0
Atalon,29.25
Ataraxia,43.0
Ataíde Semedo,28.0
Athair,36.5
Athiná,26.0
Aticus,38.0
Atipax,26.0
Atlas Peak,47.75
Atmosphere,35.333333333333336
Atrea,27.0
Attems,22.333333333333332
Attic Cellar,20.0
Atticus,37.0
Attilio Ghisolfi,60.57142857142857
Attimo,19.75
Attis,17.0
Atwater,24.2
Atze's Corner,24.5
Au Bon Climat,43.25
Au Contraire,32.4
Au Jus,22.0
Au Pied du Mont Chauve,46.23529411764706
Aubichon Cellars,34.629629629629626
Aubry,86.33333333333333
Auburn,21.5
AuburnJames,34.90909090909091
Auclair,30.38888888888889
Audelssa,76.5
Audubon Cellars,24.0
Augey,15.666666666666666
August Briggs,33.0
August Kesseler,38.11764705882353
August Ridge,34.4
August Truth,30.333333333333332
August West,33.357142857142854
Augusta Winery,16.666666666666668
Auguste Bonhomme,15.0
Aura,23.0
Aurelio Settimo,52.285714285714285
Aurielle,92.0
Auriga,23.0
Aurora,23.0
Aurora Cellars,13.0
Aurum,41.0
Auspicion,13.0
Austerity,16.428571428571427
Austin Hope,41.5
Authentique,33.5
Autonom,39.5
Autoritas,13.833333333333334
Autry Cellars,37.0
Autréau de Champillon,74.0
Autumn Hill,22.2
Avaler,21.0
Avalon,17.75
Avancia,23.75
Avant,20.0
Avanthia,30.4
Avantis,36.0
Avanzi,22.0
Aveleda,19.17391304347826
Avelina,21.666666666666668
Avennia,40.608695652173914
Avenue,17.0
Aver Family Vineyards,37.53846153846154
Avery Lane,17.5
Avia,13.0
Avide,51.6
Avignonesi,36.9
Avissi,34.0
Avondale,30.666666666666668
Avontuur,36.0
Awatere River,27.666666666666668
Awning,20.0
Axios,101.0
Axis Mundi,21.0
Ayala,104.8
Aylin,20.0
Aymara,15.166666666666666
Ayoub,43.6875
Azabache,14.0
Azalea Springs,83.0
Azamor,35.857142857142854
Azari,61.333333333333336
Azelia,63.333333333333336
Azienda Agricola Cogno,30.0
