variety,mean_variety
Mazuelo,84.33333333333333
Melnik,24.666666666666668
Melon,22.280851063829786
Mencía,29.224242424242423
Meritage,34.16465863453815
Merlot,28.275034293552814
Merlot-Argaman,16.0
Merlot-Cabernet,24.4
Merlot-Cabernet Franc,35.142857142857146
Merlot-Cabernet Sauvignon,32.03030303030303
Merlot-Grenache,22.0
Merlot-Malbec,21.2
Merlot-Petite Verdot,19.0
Merlot-Shiraz,23.0
Merlot-Syrah,24.5
Merlot-Tannat,26.333333333333332
Merseguera-Sauvignon Blanc,11.0
Meseguera,34.0
Misket,16.0
Mission,78.0
Molinara,47.0
Monastrell,21.964285714285715
Monastrell-Petit Verdot,21.5
Monastrell-Syrah,19.1
Mondeuse,19.363636363636363
Monica,19.5
Montepulciano,25.01086956521739
Morava,27.0
Morillon,24.5
Morio Muskat,28.5
Moscadello,51.666666666666664
Moscatel,29.916666666666668
Moscatel Graúdo,19.0
Moscatel Roxo,32.0
Moscatel de Alejandría,16.333333333333332
Moscato,19.705501618122977
Moscato Giallo,22.818181818181817
Moscato Rosa,30.5
Moscato di Noto,53.0
Moschofilero,21.86111111111111
Moschofilero-Chardonnay,13.0
Mourvèdre,33.199074074074076
Mourvèdre-Syrah,39.333333333333336
Mtsvane,22.75
Muscadel,36.0
Muscadelle,124.0
Muscadine,18.5
Muscat,27.344827586206897
Muscat Blanc,25.181818181818183
Muscat Blanc à Petits Grains,25.0
Muscat Canelli,22.181818181818183
Muscat Hamburg,30.0
Muscat d'Alexandrie,22.666666666666668
Muscat of Alexandria,23.666666666666668
Muscatel,22.666666666666668
Muskat,21.0
Muskat Ottonel,17.19047619047619
Muskateller,30.6
Müller-Thurgau,22.046511627906977
Narince,21.285714285714285
Nascetta,27.25
Nasco,38.5
Nebbiolo,54.222522522522524
Negrette,23.6875
Negroamaro,20.9375
Nerello Cappuccio,38.166666666666664
Nerello Mascalese,38.114285714285714
Nero d'Avola,23.14625850340136
Nero di Troia,26.266666666666666
Neuburger,26.857142857142858
Nielluciu,27.666666666666668
Norton,24.866666666666667
Nosiola,28.0
Nuragus,21.0
Ojaleshi,23.0
Okuzgozu,29.5
Ondenc,23.0
Orange Muscat,27.6
Orangetraube,24.0
Other,53.0
Otskhanuri Sapere,28.0
Pallagrello,41.111111111111114
Pallagrello Bianco,29.0
Pallagrello Nero,36.2
Palomino,46.5
Pansa Blanca,16.285714285714285
Papaskarasi,18.666666666666668
Paralleda,19.0
Parraleta,24.0
Passerina,17.4375
País,16.0
Pecorino,22.642857142857142
Pedro Ximénez,41.675
Perricone,28.4
Petit Courbu,30.0
Petit Manseng,28.53191489361702
Petit Verdot,35.107142857142854
Petite Sirah,32.27466666666667
Petite Verdot,39.074074074074076
Picapoll,19.0
Picolit,79.68181818181819
Picpoul,20.176470588235293
Piedirosso,22.083333333333332
Pigato,20.0
Pignoletto,15.0
Pignolo,112.0
Pinot Auxerrois,26.083333333333332
Pinot Bianco,27.072992700729927
Pinot Blanc,23.08288770053476
Pinot Blanc-Chardonnay,37.75
Pinot Blanc-Pinot Noir,12.0
Pinot Blanc-Viognier,18.0
Pinot Grigio,19.589506172839506
Pinot Grigio-Sauvignon Blanc,25.0
Pinot Gris,23.86769230769231
Pinot Gris-Gewürztraminer,27.0
Pinot Meunier,55.357142857142854
Pinot Nero,36.254901960784316
Pinot Noir,38.71177904142973
Pinot Noir-Gamay,16.133333333333333
Pinot Noir-Syrah,30.666666666666668
Pinot-Chardonnay,30.666666666666668
Pinotage,26.323076923076922
Pinotage-Merlot,14.0
Piquepoul Blanc,18.0
Plavac Mali,38.8235294117647
Plyto,21.5
Port,55.96086956521739
Portuguese Red,25.599131693198263
Portuguese Rosé,13.6
Portuguese Sparkling,25.428571428571427
Portuguese White,17.167202572347268
Portuguiser,16.0
Posip,27.75
Poulsard,24.333333333333332
Premsal,13.0
Prieto Picudo,40.733333333333334
Primitivo,26.06153846153846
Prié Blanc,25.8
Prosecco,33.904761904761905
Provence red blend,30.440677966101696
Provence white blend,21.303030303030305
Prugnolo Gentile,47.03333333333333
Prunelard,26.0
Pugnitello,49.0
